127.0.0.1 - - [02/Jun/2021:00:42:33 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Jun/2021:00:42:33 +0530] "GET /FlyAway/HomePage.jsp HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [02/Jun/2021:00:46:03 +0530] "GET /FlyAway/UserPage.jsp HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [02/Jun/2021:00:46:07 +0530] "GET /FlyAway/UserRegistration.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [02/Jun/2021:00:48:45 +0530] "GET /FlyAway/UserRegistration.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [02/Jun/2021:00:49:35 +0530] "POST /FlyAway/UserRegistration HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:00:49:35 +0530] "GET /FlyAway/UserPage.jsp HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [02/Jun/2021:00:51:17 +0530] "POST /FlyAway/UserLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:00:51:17 +0530] "GET /FlyAway/HomePage.jsp HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [02/Jun/2021:00:53:31 +0530] "POST /FlyAway/FlightList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:00:53:31 +0530] "GET /FlyAway/FlightList.jsp HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [02/Jun/2021:00:54:29 +0530] "GET /FlyAway/BookFlight.jsp HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [02/Jun/2021:00:57:59 +0530] "GET /FlyAway/HomePage.jsp HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [02/Jun/2021:00:58:00 +0530] "GET /FlyAway/AdminPage.jsp HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [02/Jun/2021:00:58:12 +0530] "POST /FlyAway/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:00:58:12 +0530] "GET /FlyAway/AdminHome.jsp HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [02/Jun/2021:00:58:19 +0530] "GET /FlyAway/HomePage.jsp HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [02/Jun/2021:00:58:20 +0530] "GET /FlyAway/AdminPage.jsp HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [02/Jun/2021:00:59:00 +0530] "POST /FlyAway/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:00:59:00 +0530] "GET /FlyAway/AdminHome.jsp HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:02:18 +0530] "POST /FlyAway/InsertFlight HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:02:18 +0530] "GET /FlyAway/AdminHome.jsp HTTP/1.1" 200 1177
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:03:20 +0530] "POST /FlyAway/InsertFlight HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:03:20 +0530] "GET /FlyAway/AdminHome.jsp HTTP/1.1" 200 1187
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:06:31 +0530] "GET /FlyAway/HomePage.jsp HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:06:33 +0530] "GET /FlyAway/AdminPage.jsp HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:06:56 +0530] "GET /FlyAway/ForgotPassword.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:07:44 +0530] "POST /FlyAway/ForgotPassword HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:07:44 +0530] "GET /FlyAway/AdminPage.jsp HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:08:38 +0530] "GET /FlyAway/HomePage.jsp HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:35:00 +0530] "GET /FlyAway/HomePage.jsp HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:35:42 +0530] "GET /FlyAway/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:35:42 +0530] "GET /FlyAway/HomePage.jsp HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:36:34 +0530] "POST /FlyAway/FlightList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:36:34 +0530] "GET /FlyAway/FlightList.jsp HTTP/1.1" 200 726
